URL,page_type,status,canonical_present,canonical_value,indexability,title_tag,meta_description,h1_present,primary_cta_type,last_updated_signal
http://localhost:8888/,home,200,Y,https://toptier-electrical.com/,"index, follow",Electrician in West Michigan | Top Tier Electrical,"Licensed &amp; insured electrician serving West Michigan. Panel upgrades, EV chargers, lighting, and reliable troubleshooting. Get a clear estimate—call (616) 334-7159.",Y,form,
http://localhost:8888/services.html,service-hub,200,Y,https://toptier-electrical.com/services.html,"index, follow",Electrical Services | West Michigan Electrician | Top Tier Electrical,"West Michigan electrician for custom homes, service upgrades, EV chargers, lighting, energy solutions, and generators. Clear scope, clean installs, code-compliant results.",Y,book,
http://localhost:8888/contact.html,contact,200,Y,https://toptier-electrical.com/contact.html,"index, follow",Contact Top Tier Electrical | West Michigan Electrician,Call or email Top Tier Electrical for service in West Michigan. Share project details or book online to confirm next steps.,Y,book,
http://localhost:8888/booking.html,booking,200,Y,https://toptier-electrical.com/booking.html,"index, follow",Book Electrical Service | Top Tier Electrical,"Schedule electrical service in West Michigan. Choose a service, preferred date, and time, and we’ll confirm the scope and next steps.",Y,call,
http://localhost:8888/testimonials.html,reviews,200,Y,https://toptier-electrical.com/testimonials.html,"index, follow",Customer Feedback | Top Tier Electrical,Customer feedback for Top Tier Electrical. Read verified comments and share your experience after service in West Michigan.,Y,book,
http://localhost:8888/financing.html,other,200,Y,https://toptier-electrical.com/financing.html,"index, follow",Financing | Top Tier Electrical,Explore flexible financing options for your electrical project with Top Tier Electrical.,Y,book,
http://localhost:8888/emergency.html,emergency,200,Y,https://toptier-electrical.com/emergency.html,"index, follow",Emergency Electrical Services | Top Tier Electrical,"Urgent electrical service for Holland, Grand Rapids and West Michigan residents and businesses. Call to confirm next steps and safe shutdown guidance.",Y,book,
http://localhost:8888/gallery.html,gallery,200,Y,https://toptier-electrical.com/gallery.html,"index, follow",Gallery | Top Tier Electrical,"Browse our photo gallery of recent electrical projects including panel upgrades, conduit piping and LED installations across West Michigan.",Y,book,
http://localhost:8888/faq.html,faq,200,Y,https://toptier-electrical.com/faq.html,"index, follow",FAQ | Top Tier Electrical,"Frequently asked questions about electrical services, panel upgrades, EV chargers and more.",Y,book,
http://localhost:8888/blog.html,blog,200,Y,https://toptier-electrical.com/blog.html,"index, follow",Electrical Blog &amp; Resources | Top Tier Electrical,"Read practical electrical tips from Top Tier Electrical: safety, EV charging, surge protection, and choosing the right electrician in West Michigan.",Y,book,
http://localhost:8888/service-areas.html,service-areas,200,Y,https://toptier-electrical.com/service-areas.html,"index, follow",Service Areas | West Michigan Electrician,"See where we work across West Michigan and what to expect when scheduling. If you’re nearby but not listed, call (616) 334-7159 to confirm availability.",Y,book,
http://localhost:8888/panel-upgrades.html,service-detail,200,Y,https://toptier-electrical.com/panel-upgrades.html,"index, follow",Electrical Panel Upgrade &amp; Service Upgrade | West Michigan Electrician,"Clean, code-compliant electrical panel upgrades and service upgrades in West Michigan. Clear scope, tidy installs, and reliable long-term results.",Y,book,
http://localhost:8888/ev-chargers.html,service-detail,200,Y,https://toptier-electrical.com/ev-chargers.html,"index, follow",EV Charger Installation | West Michigan Electrician,"Level 2 EV charger installs with capacity checks, clean wiring, and permit coordination. Safe, code-compliant charging for your home or business.",Y,book,
http://localhost:8888/lighting.html,service-detail,200,Y,https://toptier-electrical.com/lighting.html,"index, follow",Lighting Installation &amp; Fixtures | Custom Home Electrician,"Thoughtful lighting layouts, dimmers, smart controls, and clean installs. Premium finish work for West Michigan homes and select commercial spaces.",Y,book,
http://localhost:8888/electrical-repairs.html,service-detail,200,Y,https://toptier-electrical.com/electrical-repairs.html,"index, follow",Electrical Repairs &amp; Troubleshooting | West Michigan Electrician,"Dead outlets, tripping breakers, partial power loss, or flickering lights? We troubleshoot and repair electrical issues safely in West Michigan. Book service today.",Y,book,
http://localhost:8888/generators.html,service-detail,200,Y,https://www.toptier-electrical.com/generators.html,"index, follow",Generator Installation | West Michigan Electrician,"Backup power systems sized and installed safely with clear scope, clean workmanship, and verified operation.",Y,book,
http://localhost:8888/energy-solutions.html,service-detail,200,Y,https://www.toptier-electrical.com/energy-solutions.html,"index, follow",Energy Solutions | West Michigan Electrician,"Practical energy upgrades—LED, controls, and load planning—to improve comfort and reduce waste without overcomplicating your home.",Y,book,
http://localhost:8888/energy-consulting.html,service-detail,200,Y,https://www.toptier-electrical.com/energy-consulting.html,"index, follow",Energy Consulting | West Michigan Electrician,"Calm, professional energy consulting to prioritize upgrades, clarify scope, and help you make confident decisions without pressure.",Y,book,
http://localhost:8888/blog-electrical-safety.html,post,200,Y,https://toptier-electrical.com/blog-electrical-safety.html,"index, follow",Electrical Safety Tips | Top Tier Electrical Blog,Learn practical electrical safety tips to protect your home and family.,Y,book,
http://localhost:8888/blog-right-electrician.html,post,200,Y,https://toptier-electrical.com/blog-right-electrician.html,"index, follow",Choosing the Right Electrician | Top Tier Electrical,"What to look for when hiring an electrical professional, from verifying credentials to comparing estimates and avoiding red flags.",Y,book,
http://localhost:8888/blog-ev-charging.html,post,200,Y,https://toptier-electrical.com/blog-ev-charging.html,"index, follow",EV Charging at Home | Top Tier Electrical,"Learn how home EV charging works, what an electrician checks before installation, and when a panel upgrade might be needed in West Michigan.",Y,book,
http://localhost:8888/blog-surge-protection.html,post,200,Y,https://toptier-electrical.com/blog-surge-protection.html,"index, follow",Whole‑Home Surge Protection | Top Tier Electrical,"Learn how whole‑home surge protection works, what it protects, and when to consider adding it to your electrical panel in West Michigan.",Y,book,
